category,englishExample,englishMeaning,headword,hindiExample,hindiMeaning,kashmiriExample
N,Some trekers went on an expedition to Himalayas.,expedition,مُہِِم,,अभियान,
VT,He was expelled from the school for poor performance.,expel,کَڑُن،کٔڑِتھ ژُھنُن,,निकालना,
N,There is an increase in the expenditure from last two months.,expenditure,خَرچہٕ,,व्यय,
N,He maintained a record of expenses at the meeting.,expense,لاگَت،خَرچہٕ,,लागत,
Adj,She prefers to buy expensive clothes.,expensive,قۭمتی,,महँगा,
N,She has no experience in the field.,experience,تَجرُبہٕ,,अनुभव,
VT,I experienced horror for a flash of moment.,experience,تَجرُبہٕ کَرُن,,अनुभव_करना,
Adj,She is an experienced teacher.,experienced,تَجرُبہٕ کار,,अनुभवी,
N,She is an experienced teacher.,experiment,تَجرُبہٕ وول,,प्रयोग,
N,Students are conducting an experiment in the lab.,experiment,تَجرُبہٕ,,परीक्षा,
V,The teachers are experimenting with the new methods.,experiment,تَجرُبٕہ کَرُن,,परीक्षा_करना,
Adj,The business is at the experimental stage.,experimental,تَجرُبٲتی,,प्रायोगक,
Adj,My mother is an expert cook.,expert,قٲبِل,,निपुण,
N,My mother is expert in cooking.,expert,قٲبِل,,निपुण,
VT,The teacher explained the theory to the students.,explain,سمجاوُن،وَضاحَت کَرٕنۍ,,समझाना,
N,He gave a detailed explanation of the case.,explanation,تَشریٖح ،وَضاحَت,,व्याख्या,
Adj,She was quite explicit about why she has left.,explicit,واضِح,,स्पष्ट,
VI,The champagne bottle exploded.,explode,پَھٹُن,,फूटना,
N,He called for a careful exploration of the consequences.,exploration,خوج,,खोज,
VT,I like to explore new places.,explore,ژھانٛڑنہِ,,खोजना,
N,The explosion of firecrackers scared the children.,explosion,ٹاس,,भड़ाका,
Adj,The workers planted an explosive device inside the tunnel.,explosive,دَماکہٕ وول مَواد,,भक_से_उड़_जाने_वाला,
N,The barrack is reserved for the storage of explosives.,explosive,بوٚرٗود,,उड़ाऊ,
N,The company returned the export lot.,export,بَرآمَد,,निर्यात,
VT,India exports cotton to many countries.,export,نٮ۪بَر سوزُن,,निर्यात_करना,
VT,He exposed rampant scandal in his department.,expose,نٔنِراوُن,,खोलना,
VT,This news exposed him as a liar.,expose,نوٚن کَڑن,,विवरण,
N,Students need exposure to computer education.,exposure,وٕسَعت,,विवरण,
Adj,I have booked an express train.,express,جلدی پَکنَ واجنۍ,,शीघ्र_जाने_वाला,
Adj,It was her express wish to visit the pilgrimage sites.,express,صاف،واضح,,स्पष्ट,
VT,She expressed her feelings very clearly.,express,ظٲہِر کَرُن,,व्यक्त_करना,
N,I could easily read sad expressions on her face.,expression,آثار,,अभिव्यंजना,
V,The railway line has not yet been extended to this area.,extend,ؤسیٖع کَرُن،وَہراوُن,,फैलाना,
V,The school extended invitation to the parents on the annual day.,extend,دیُن،واتناوُن,,निमंत्रण_देना,
V,The group extended the tour.,extend,بَڑاوُن,,बढ़ाना,
N,The extension of internet facility has spread across the country.,extension,تَوسیٖع,,विस्तारण,
Adj,We made an extensive use of the public library.,extensive,۔۔۔,,बड़ा/व्यापक,
N,He worked beyond the extent of time limit.,extent,حَد,,सीमा,
Adj,The external examiner was very strict.,external,بیروٗنی،نیٚبرِم,,बाहरी,
N,Extortion is a common trend in the world.,extortion,جَبٕر,,छीन_छोर,
Adj,Shee always carries extra food to the college.,extra,عَلاوٕ,,अधक,
N,He always carried extras in apprehension of an emergency.,extra,عَلاوٕ,,अतिरिक्त_वस्तु,
Adj,The debate resulted in an extraordinary incident.,extraordinary,غیر معموٗلی,,अनोखी,
Adj,He has been endorsed with extraordinary authority.,extraordinary,خاص,,विशेष,
Adj,He carried the argument to extremes.,extreme,شٔدیٖد،اِنتِہٲیی,,चरम/अत्यन्त,
N,We have to go to the extreme edge of town to buy the commodity.,extreme,حَد,,सिरा,
Adv,She is extermely beautiful.,extremely,اِنتِہٲیی,,अत्यधक,
N,Her eyes are beautiful.,eye,أچھ,,आख,
N,She has an eye for fresh talent.,eye,نَظَر,,नज़र,
N,He tried his best to catch her eye.,eye,دیان,,ध्यान,
N,My eyelid has swollen.,eyelid,ٹور,,पलक,
Adj,The child has a great faculty for learning languages.,Faculty,قٲبِلِیَت,,योग्यता,
N,The entire fabric of the building needs renovation.,fabric,بناوٹ,,बनाव,
N,I prefer cotton fabrics.,fabric,پَلَو,,एक_प्रकार_का_कपड़ा,
N,He washed his face with warm water.,face,بُتھ,,चेहरा,
N,He washed his face with warm water.,face,بُتھ,,मुख/चेहरा,
N,The captain lost his face with the defeat in final game.,face,عِزَت,,प्रतिष्ठा,
V,Please stand with your face towards the wall.,face,بُتھ کَرُن،بُتھ تھاوُن,,सामना-होना/करना,
V,He faced the problem vary sensibly.,face,مُقابلہٕ کَرُن,,सामना_होना,
N,The house has extensive facilities.,facility,سٔہوٗلِیَت،آسٲنی,,सुगमता,
N,He is afraid of facing the family.,facing,بُتھ دیُن،مُقابلہٕ کَرُن,,सामना,
N,He supported his argument with an array of facts.,fact,حٔقیٖقَت,,तथ्य,
N,2 is a factor of 12.,factor,جُزوِ ضربی,,अंश{गणित},
N,His loss of interest was a key factor of his failure.,factor,وَجَہ،عُنصر,,घटक/कारक/कारण,
N,We are thinking of setting up sugar factory.,factory,کارخانہٕ,,कारखाना,
V,The colour of these curtains faded very soon.,fade,گوٚٹ گَژُھن,,मुरझाना,
V,She failed to notice the step.,fail,زۄن نہٕ گَژُھن,,असफल_होना,
V,The crops have failed again.,fail,ناکام گَژُھن,,चूकना,
V,She failed to notice that her child was not in the cradle.,fail,زۄن نہٕ گَژُھن,,चूकना,
V,He failed in the board examination.,fail,ناکام گَژُھن,,असफल_होना,
V,Several companies failed to function during recession.,fail,بَنٛد گَژُھن,,समाप्त_हो_जाना/खत्म_होजाना,
V,She studied hard but failed nevertheless.,fail,ناکام گَژُھن,,अनुत्तीर्ण_होना,
V,She failed in her obligations as an obedient daughter-in-law.,fail,کٔمی آسٕنۍ,,कमी_होना,
V,The water supply for the town failed after a continous drought.,fail,بنٛد گَژُھن,,अपर्याप्त_होना,
N,We are often reminded about our failings.,failing,کَمزوٗری,,कमी,
Prep,"Buy her a new book, failing of which you can buy even a catalogue from the library.",failing,نَہ آسٕنۍ,,न_होने_पर/के_अभाव_में,
N,All my efforts to save her life ended in failure.,failure,ناکٲمی,,असफलता,
N,She was a failure as a teacher.,failure,ناکام,,असफल_व्यक्ति,
Adj,She fell faint with the illness.,faint,بےٚ ہوش,,निर्बल,
Adj,I only a faint idea of what she is doing at present.,faint,گوٚٹ,,अस्पष्ट,
Adj,I fell faint from the pain.,faint,بےٚ ہوش,,धीमा,
N,She fell into a dead faint on hearing this news.,faint,بےٚ ہوشی,,मूर्छा,
VI,She fainted during the assembly.,faint,بےٚ ہوش گَژُھن,,मूर्छित_होना,
Adj,The team played a fair game.,fair,اَصٕل,,काफी_अच्छा,
Adj,Her complexion is fair.,fair,پرٛون,,गोरा,
Adj,There is a fair chance to get oppointed.,fair,کٲفی,,काफी,
Adj,The city has a fair weather.,fair,جان،اَصٕل,,अच्छा,
Adj,He never makes a fair deal.,fair,جایز,,न्याय_संगत,
Adj,Her knowledge about her subject is only fair.,fair,ٹھیٖک,,ठीक-ठाक,
N,We went to the fair held in Paradise circle.,fair,مٲلہٕ,,मेला,
Adv,The contractor did not treat his labour fairly.,fairly,جان پٲٹھۍ,,न्यायपूर्वक,
Adv,He was fairly sure of the identity of the thief.,fairly,واریاہ حَدَس تام,,बहुत_हद_तक,
Adj,She imagines life like a fairy tale.,fairy,پٔری,,अप्सरा_जैसी,
N,I dreamt of fairies.,fairy,پٔرِیہِ,,अप्सरा,
N,She has tremendous faith in the Divine Power.,faith,بَروسٕہ,,विश्वास,
N,We can find people of various faiths in India.,faith,مَزہَب,,धर्म,
N,The fall of the currupt system is certain.,fall,پیوٚن,,पतन,
N,The fall of our hockey team was very disappointing.,fall,ہار,,पराजय,
N,He will visit us in the fall next year.,fall,ہرٕد,,शरत,
VI,The bicycle will fall off the stand.,fall,ؤسۍ پیوٚن,,गिरना,
VI,Holi falls in the month of March.,fall,پٮ۪وان,,होना,
VI,He fell for the attractive offers at the shop.,fall,لالچِہ منٛز پیوٚن,,लालच_में_आना,
VI,His eyes fell upon the poor girl.,fall,پیٚنۍ,,पड़ना,
Adj,The fallen team had to leave the stadium.,fallen,ناکام,,पराजित,
N,The differences in the opinions might result in fallout of the team.,fallout,لَڑٲے,,लड़ाई,
Adj,He makes false promises.,false,اَپٕزۍ,,झूठा,
N,Rave has earned fame as the best medical practitioner.,fame,شُہَرَت,,प्रसिद्धि/प्रतिष्ठा,
Adj,David is a very familiar figure on campus.,familiar,ناموَر,,जाना-माना,
Adj,I am not very familiar with these people.,familiar,زان پہچھان,,परिचित,
N,He moved his family to Virginia.,family,عَیال,,परिवार,
N,He moved his family to Virginia.,family,کُمبٕہ,,कुटुम्ब,
Adj,He is a famous actor.,famous,مَشہوٗر,,प्रसिद्ध,
N,We need two fans in the room.,fan,پَکھہٕ,,पंखा,
N,I am a big fan of Amitabh.,fan,شوقیٖن,,चाहनेवाला,
VT,The servant is fanning his master.,fan,واو کَرُن,,पंखा_करना,
VT,Many political leaders fan communal violence for personal gains.,fan,وُتٕش دیُن,,भड़काना/उत्तेजित_करना,
N,He is a football fanatic.,fanatic,شوقیٖن,,अति_उत्साही,
Adj,She has a fancy calculator.,fancy,شوٗبِہ دار،جان،لوٗبٕوُن,,असामान्य,
Adj,The store sells only fancy items.,fancy,دٔرگۍ,,बढ़े_चढ़े,
N,He has curious adolescent fancies.,fancy,خَیال,,कल्पना,
N,She bought fancies on her birthday.,fancy,سَجاوَٹھ,,छोटा_सजा_हुआ_केक,
VT,I fancy colorful stamps.,fancy,پَسَنٛد کَرُن,,पसन्द_करना,
VT,She fancies a cup of coffee after a long working session.,fancy,یَژھان,,इच्छा_होना,
VT,In the dark she fancied that she saw a ghost.,fancy,خَیال کَرُن,,सोचना,
Adj,I have got a fantastic idea.,fantastic,واریاہ اَصٕل,,अद्भुत,
N,School girls often thrive on fantasies.,fantasy,خَیالَن منٛز,,कोरी_कल्पना,
Adj,She stood at the far end of the street.,far,دوٗر,,दूर,
Adv,How far is the post-office from here?,far,دوٗر,,दूर,
Adv,Murali has fallen far behind his schedule.,far,واریاہ,,बहुत,
N,We arranged the farewell for out-going students.,farewell,رۄخسَت,,बिदा_का_प्रणाम,
N,Many people are working on the farm.,farm,کَھہَہ,,खेत,
VT,The farmer farms the land.,farm,زٔمیٖن دٲری کَرٕنۍ,,खेती_करना,
N,He is a farmer.,farmer,آرٲبۍ،زٔمیٖن دار,,किसान,
N,The villagers use modern methods of farming.,farming,زٔمیٖٖن دٲری,,खेती,
Adj,The stadium is in farther north of the city.,farther,دوٗر,,दूर,
Adv,You have to go farther to board the bus.,farther,دوٗر,,और_दूर,
VT,He was fascinated by her poetry.,fascinate,دٮ۪وانہٕ کَرُن,,मोह_लेना,
N,Wearing long coats is in fashion.,fashion,رٮ۪واج,,कार्य_प्रणाली,
N,Bell-bottom pants are no more in fashion.,fashion,رٮ۪واج،فٲشَن,,वेशभूषा_की_शैली,
VT,The potter fashioned pots from clay.,fashion,بناوُن,,विशेष_प्रकार_की_आकृति_प्रदान_करना,
Adv,You will have to act fast.,fast,تیٖزی سان,,तेज़ी-से,
Adv,He is my fast friend.,fast,پَکٕہ پٲٹھۍ,,दृढ़्ता-से,
Adv,He is in fast sleep.,fast,مَس,,गहरी,
Adj,Express trains run very fast.,fast,تیز,,तेज़,
Adj,The colours of the dress are very fast.,fast,تیز،توٚت,,पक्का,
N,I regularly fast on week ends.,fast,فاقے روزُن,,व्रत,
VI,He is not fasting today.,fast,فاقہٕ دیُن،روزٕ تھاونہِ,,व्रत_रखना,
VT,Fasten the lock onto the door.,fasten,لَگاوُن،دیُن,,जकड़ना,
Adj,It was a fat rope.,fat,موٚٹ,,मोटा,
N,Pizza is rich in fat content.,fat,چَرٕب,,चर्बी,
Adj,The fatal road accident took a heavy toll of life.,fatal,وٲناک,,जीवघातक,
N,I was her fate to meet the guy on trip.,fate,تَقدیٖر،قٕسمَت,,भाग्य,
N,His father was a poet.,father,مول,,पिता,
VT,He fatheres her kids very passionately.,father,مول بَنُن,,पिता_बनना,
N,It was not my fault to leave the drawers open.,fault,غَلطی،قوٚصوٗر،خَطاہ,,भूल,
N,I usually avoid asking for favours.,favour,مہربٲنی،ہمدَردی,,कृपा,
VT,He favoured me in the debate.,favour,مَدَت کَرُن,,कृपा_दृष्टि_रखना,
Adj,The public reaction to the new budget was not favourable.,favourable,موٲفِق,,हितकारी,
Adv,The new products compare favourably with other brands.,favourably,۔۔۔,,प्रशंसा_की_दृष्टि_से,
Adj,Ram was the favourite student of our class teacher.,favourite,ٹوٹھ,,प्रिय,
N,Mohan was trembling with fear near the accident.,fear,ڈَر،کھۄژُن,,भय,
V,Rama fears darkness.,fear,ڈَر آسُن،خوف آسُن,,भय_करना,
V,She does not fear death.,fear,ڈر،خوف,,डर,
Adj,It is feasible to complete this work on time.,feasible,قٲبلِہ عَمَل,,संभव/साध्य,
N,The wedding feast was excellent.,feast,دعوَت،سال,,भोज,
N,The festival was a feast of colours.,feast,جیٚشنہٕ,,संतोष,
N,New year has become greatest feast.,feast,جیٚشنہٕ,,त्यैहार,
V,Guests had a sumptuous feast at the wedding.,feast,سال کھیوٚن,,भोजन_करना,
V,Travelling around Kerala is a feast to eyes.,feast,مَزٕدار,,आन्नदित_करन,
N,Birds use their feathers for balance while in flight.,feather,پَکھ،پَر,,पंख/पर,
V,The hen feathered her chickens.,feather,پَکَھن تَل تھاوُن,,परों_से_ढकना,
N,Her facial features are very attractive.,feature,حِصٕہ,,नक्श,
N,The main feature of the play was stage setting.,feature,حِصہٕ,,विशेष_गुण,
N,I likea feature film than a documentary.,feature,سیٚنِماہٕچ فِلِم,,सिनेमा_की_फिल्म,
V,This film features an old actor.,feature,ہاوان,,प्रकट_करना,
V,Their logo features a red square.,feature,حِصٕہ نِیُن,,हिस्सा_लेना,
Adj,Medicine and defence are federal matters in U.S.,federal,دِفٲقی....,,राज्य_संबंधी,
Adj,Federal system of governence is controlled by central authhority.,federal,....,,संघी,
N,A Fedration was set up to overcome the economic crisis.,federation,دِفاق,,राज्य_संघ,
N,I need to pay the fee to appear in the examination.,fee,فیٖس,,शुल्क,
V,She has a large family to feed.,feed,پالُن,,खाना_खिलाना,
V,Mohan feeds the information to his immediate boss.,feed,دِنۍ,,देना,
V,It takes to feed a coin to make a call from the booth.,feed,ترٛاوُن,,डालना,
V,Violence feeds on hatred and envy.,feed,پھانٛپھٕ لاوُن,,पनपना,
N,The baby had the last feed two hours ago.,feed,کھٮ۪ن،غٕزا,,खाना,
N,The machine feed is blocked.,feed,۔۔۔,,माल{मशीन_में_इस्तेमाल_किये_जानेवाला},
N,Petrol feed of the car is chocked up.,feed,پایِپ,,पाईप{जिससे_मशीन_को_तेल_आदि_देते_हैं},
V,I can feel the complication of the situation.,feel,مَحسوٗس کَرُن,,महसूस_करना,
V,I feel safe when I go out with Richard at night.,feel,باسُن،مَحسوٗس کَرُن,,स्पर्श_से_अनुभव_करना,
V,He can feel his way in the dark.,feel,مَحسوٗس کَرُن,,टटोलना,
N,The feel of this place is very depressing.,feel,احساس,,अनुभव,
N,The speaker appealed to the feelings of the audience.,feeling,جَزبات,,भावना,
N,I have a bad feeling regarding this matter.,feeling,احساس,,बोध,
N,I have lost all feelings with this medication.,feeling,زُو,,चेतना,
N,The crowd was beating their feet with the music beats.,feet,کھۄر,,पैर{ब.},
N,The tree is at a distance of about ten feet from the house.,feet,پُھٹ،پُھٹہٕ,,फुट{ब.},
V,He felled down all the trees.,fell,ژَٹٕنۍ,,काट_गिराना,
N,We enjoyed our journey to Lakeland fells.,fell,۔۔۔,,९पहाड़ी_इलाका{उत्तरी_इंगलैंड_का},
Adj,The government fell down in one swoop.,fell,پیوٚن,,गिराना{गिराना},
N,He is a nice fellow.,fellow,شَخٕص,,व्यक्ति[साथी],
N,He is a good fellow.,fellow,نَفَر،شَخٕص,,व्यक्ति,
N,He is a fellow of the Institution of Engineers.,fellow,فیلو،نَفَر,,सभासद,
N,He was my fellow traveller on the journey.,fellow,ہَم سَفَر,,सहचर,
N,You should show fellowship towards collegues.,fellowship,دوستی،بٲیۍ بَندُت,,साहर्चय,
N,I got a fellowship at Royal Academy of music.,fellowship,مِمبَر,,सदस्यता,
N,He was relieved after receiving a fellowship from the college.,fellowship,ؤظیٖفہٕ,,अनुदान,
N,We prefer to buy hand-made felt.,felt,نَمدٕ,,नमदा/फैल्ट{कपड़ा},
N,This female is very renowned for her wit.,female,زَنانہٕ،زٔنۍ,,स्त्री_जाति,
Adj,Female infanticide is a common practise.,female,کوٗر,,स्त्री_सबंधी,
Adj,She moves around only with her female friends.,female,زَنانہٕ,,स्त्री,
N,He has put up a fence around his garden.,fence,جَنٛگلہٕ,,बाढ़/बाड़ा,
V,The actors fenced with real swords on stage.,fence,تلوارِجَنٛگ کَرُن,,तलवार_या_गदा_की_लड़ाई,
V,He generally fences around the minor issues to avoid making decisions.,fence,گول مول جَواب دیُن,,घुमा_फिरा_के_बात_करना,
Adj,This land is very fertile for growing rice.,fertile,زَرخیز,,उर्वर,
N,Holi is the festival of colours.,festival,تَقریٖب،بوٚڑ دۄہ,,त्यौहार/उत्सव,
N,He is running very high fever.,fever,تَپھ,,बुखार,
N,I waited for my new car in fever of excitement.,fever,بے چیٚنی,,उत्तेजना,
Det,Few people know about this episode.,few,کینٛہہ,,कुछ,
Adj,I worked with this organisation for few years.,few,کینٛژن,,कुछ,
Adj,She is a woman of few needs.,few,کینٛہہ,,थोड़ा,
N,Fibre from cotton pods is spun to weave cloth.,fibre,ریٚشہٕ،داو,,तन्तु,
N,Fibre is essential for health.,fibre,ریشہٕ,,खाने_का_रेशे_वाला_भाग,
N,The president has a strong moral fibre.,fibre,کِردار,,चरित्रबल,
N,That book is a work of fiction.,fiction,خیٲلی,,कहानी{काल्पनिक},
N,Stories of his bravery are written as beautiful fiction.,fiction,خیٲلی,,कल्पना,
N,Snow is a great book of fiction.,fiction,خیٲلی داستان,,कथा,
N,Cricket field of this club is maintained.,field,مٲدان,,मैदान,
N,He prefers to work in his fields during the holidays.,field,کَھہہ,,खेत,
N,His field of specialisation is Petrogeology.,field,شُعبٕہ,,विशेष_अध्ययन,
V,The player fielded the ball with great agility.,field,فیٖلڑینٛگ کَرٕنۍ,,क्षेत्र_रक्षण_करना,
V,In this election parties fielded less number of candidates.,field,مٲدانَس منٛزوَسُن,,क्षेत्र_में_उतारना{राजनीति_के_संदर्भ_में},
Adj,The discussion aroused fierce aggression.,fierce,شٔدیٖد,,प्रचंड,
Adj,A fierce dog guards the house.,fierce,خَطَرناک,,बर्बर,
Adj,He has a fierce loyalty for his party.,fierce,سَخٕت,,उग्र,
N,She will be fifteen this year.,fifteen,پَنٛدَہ,,पन्द्रह,
Pron,He has issued fifteen books on his name.,fifteen,پَنٛدَہ,,पन्द्रह,
Det,There were fifteen types of dishes at the feast.,fifteen,پَنٛدَہ,,पन्द्रह,
N,Fifteen is my lucky number.,fifteen,پَنٛدَہ,,पन्द्रह,
Art,They are fifteen in number.,fifteen,پَنٛدَہ,,पन्द्रह,
Adj,I took fifteen chocolates.,fifteen,پَنٛدَہ,,पन्द्रह,
N,He stood fifth in the class.,fifth,پوٗنٛژِم,,पाँचवा,
Pron,She will be here on the fifth of this month.,fifth,پوٗنٛژِم,,पाँचवा,
N,He stood fifth in the race.,fifth,پوٗنٛژِم,,पाँचवाँ,
Pron,He stood fifth in the race.,fifth,پوٗنٛژِم,,पाँचवाँ,
Art,She lives on the fifth floor.,fifth,پوٗنٛژِم,,पाचवाँ,
N,I bought fifty cups for the party.,fifty,پَنٛژَہ,,पचास,
Pron,There were fifty passengers on the bus.,fifty,پَنٛژَہ,,पचास,
N,I have fifty names on the list.,fifty,پَنٛژَہ,,पचास,
Art,She scored fifty percent marks in the final examination.,fifty,پَنٛژَہ,,पचास,
Adj,She is fifty years old.,fifty,پَنٛژَہ,,पचास,
N,Fig is a tasty fruit.,fig,أنجوٗر,,अंजीर,
V,The kids were fighting over an ice cream.,fight,لَڑٲےکَرٕنۍ,,लडाई_करना,
N,There was a fight between two students.,fight,لَڑٲے,,लड़ाई,
N,There has a strong zeal for fight.,fight,لَڑنُک طاقَت,,लड़ने_की_क्षमता,
N,Gladiators were great fighters.,fighter,جَنٛگجوٗو,,योद्धा,
N,A great fighter does not give up easily.,fighter,جَنٛگجوٗو,,आसनी_से_हार_न_मानने_वाला,
N,Government invested considerable money to purchase new fighter planes.,fighter,جٔنٛگی,,लड़ाकू_हवाई_जहाज,
N,Monthly sales figures of the company show a declining trend.,figure,نَمبَر،شُمار,,अंक,
N,You have maintained your figure properly.,figure,شَکٕل و صوٗرَت,,आकृति{शारीरिक},
N,I saw a figure approaching towards me from a distance.,figure,ژھاے,,व्यक्ति,
N,Hexagon is a six sided figure.,figure,شَکٕل,,आकृति{रेखाचित्र},
N,Monthly sales figures of this company show a declining trend.,figure,نَمبَر،شُمار,,अंक,
N,She has maintained her figure properly.,figure,شَکٕل,,आकृति{शारीरिक},
N,I saw a figure approaching from a distance.,figure,ژھاے,,व्यक्ति,
N,Hexagon is a six sided figure.,figure,شَکٕل,,आकृति{रेखाचित्र},
V,His name figures in the list of winners.,figure,بوزنہٕ یُن,,दिखाई_देना,
V,He figured out the results approximately.,figure,خَیال کَرُن,,कल्पना_करना,
Adj,I have some figured statues.,figured,نَقشہٕ دار,,अलंकृत,
N,I have labelled all the files.,file,فَیِل,,फाइल{कागज़_संभाल_कर_रखने_की_जिल्द},
N,I have too many files on my hard disk.,file,فَیِل,,{कम्पयूटर_में_सूचना_रखने_का_तरीका},
V,Please file my complaint on this issue.,file,دَرٕج کَرُن,,सूचना_दर्ज_करना,
N,There was a long file of people at the polling booth.,file,لٲن,,पंक्ति,
N,Please use the file to even the surface.,file,فَہرٕ واو,,रेती,
V,I need to file my nails.,file,رَگڑاوُن،گِسُن ،فہَرٕواو دیُن,,घिसना,
V,He asked his son to fill the pit with the dry leaves.,fill,بَرُن,,भरना,
N,I had my fill of sweets at the wedding reception.,fill,یَڑ بٔرِتھ,,संतुष्टि,
N,Filling used in this Dosa is very tasty.,filling,بٔرِتھ,,भरावन,
N,The film shown at the theater is good.,film,کھیل،فِلِم,,सिनेमा,
N,Change the film in your camera.,film,ریٖل،فِلِم,,कैमरे_की_रील,
N,There is a film of oil on the water of this pond.,film,تہہ،زٮ۪ل,,झिल्ली,
Adj,The final chapter of this book is the most interesting.,final,ٲخری,,अंतिम,
N,He has reached the finals in the match.,final,ٲخری پَڑاو,,अंतिम_चरण,
V,After a long discussion they finalised the outline for the campaign.,finalise,مُکمَل کَرُن,,अंतिम_निर्णय_लेना,
Adv,The party finally broke up.,finally,ٲخٕرکار,,आखिरकार,
N,He financed his higher studies.,finance,رۄپیِہ،پونٛسہٕ,,आर्थिक_व्यवस्था,
V,Company has arranged the finance for new project through the loan.,finance,مٲلی اِنتِظام کَرُن،پونٛسہٕ لاگُن,,आर्थिक_प्रबन्ध,
Adj,Tokyo is a major financial centre in SouthEast Asia.,financial,مٲلی,,आर्थक,
V,I have to find a way out.,find,ژھانٛڑُن,,ढूँढ निकालना,
V,After a lot of hard work they found the error in the machine.,find,ژھونٛڑ,,पाना,
V,He finds that his colleagues are not very co-operative.,find,باسُن،خَیال کَرُن,,अनुभव_करना,
V,I found a gold ring on the pavement.,find,لَبُن,,मिलना,
N,Our new flat is a real find considering the rent charged.,find,دٔرِیافت,,खोज,
N,Findings of the enquiry are not in favour of the accused.,finding,نٔتیٖجہٕ,,जाँच_परिणाम,
Adj,I had a fine holiday at his farm.,fine,اَصٕل,,बढिया/अच्छा,
Adj,We purchased a blanket with fine needlework.,fine,زٲوِج,,बारीक,
Adj,This is a fine colour for your car.,fine,جان،ٹھیٖک،زَبَر,,सुन्दर,
Adj,My health is fine now.,fine,ٹھیٖک,,संतोषजनक,
Adj,The gold bars are made of fine metal only.,fine,صاف،شوٚد،خٲلِص,,शुद्ध,
Adj,The table was covered with fine dust.,fine,زٲوِج,,महीन,
Adj,This drawing is made by a nib with fine point.,fine,نِیُک،زٲویُل,,पतला,
Adv,She is fine now.,fine,ٹھیٖک پٲٹھۍ,,ठीक_तरह_से,
Adv,There is a fine distinction between the textures.,fine,واریاہ کَم,,बहुत_कम_अन्तर_होना,
N,He had to pay a fine for wrong parking.,fine,جُرمانہٕ،ہَرجانہٕ,,जुर्माना,
V,He was summoned to pay a fine for court of contempt.,fine,جُرمانہٕ بَرُن،ہَرجانہٕ دیُن,,जुर्माना_लगाना,
N,His fingers are long and thin.,finger,اونٛگٕج,,उंगली,
V,She usually fingeres her necklace while talking.,finger,اونٛگجہِ لاگنہِ,,उंगली_से_छूना,
V,He has been asked to finish this work today.,finish,پوٗرٕ کَرٕنۍ,,पूर_करना,
V,Please finish your coffee quickly.,finish,مۄکلاوُن,,समाप्त_करना,
V,He has engaged some persons to finish Shyam.,finish,مارُن,,मार_डालना,
V,He has been asked to finish this work today.,finish,پوٗرٕ کَرُن،مُکَمَل کَرُن،اَنٛد واتٕناوُن,,पूर्ण_करना,
V,Please finish the coffee quickly.,finish,مۄکلاوٕنۍ,,समाप्त_करना,
V,He has engaged some persons to finish Shyam.,finish,مارُن,,मार_डालना,
N,This race will have an interesting finish.,finish,اَنٛد,,अन्त,
Adj,He was not finished with the work yet.,finished,مُکَمَل,,पूर्ण,
Adj,The finished product was exhibbited publicly.,finished,مُکَمَل,,समाप्त,
N,The fire at the cinema hall resulted in many deaths.,fire,نار،زونٛگ,,आग,
N,The police opened fire to hold back the mob.,fire,گوٗلۍ چَلاوٕنۍ,,गोली_चलाना,
V,He fired at the robbers.,fire,حَملہٕ کَرُن،گولہِ چَلاونہِ,,प्रहार_करना{बंदूक_या_तीर_से},
V,He has recently been fired from his job.,fire,کڑنہٕ آمُت,,निकाल_देना,
V,These comments fired his imagination.,fire,طیٚشَس مَنٛز یُن،جوشَس مَنٛز یُن,,उत्तेजित_होना,
V,Bricks are fired in the klins to bake them.,fire,بٔٹَھس پٮ۪ٹھ بَناوُن,,भट्टी_में_पकाना,
N,The soldiers were trained for firing arms.,firing,بندوٗق چَلاوُن,,बंदूक_चलाना,
Adj,He began the work with firm determination.,firm,مَضبوٗط,,दृढ़,
Adj,He always remains firm on his decisions.,firm,پَکہٕ,,अचल,
Adj,Our decision is firm against their argument.,firm,پایدار,,स्थिर,
V,Please firm up your decision in this matter.,firm,پَکہٕ کَرُن,,दृढ़_करना,
Adv,The textile industry has now been firmly established.,firm,پَکہٕ پٲٹھۍ,,स्थिरता_होना,
N,There are many firms in this business.,firm,تِجارتی اِدارٕ,,व्यापारिक_कंपनी,
Adj,He always stands first in his class.,first,اَوَل,,प्रथम,
Adj,There is a huge crowd on the first train of the day.,first,گۄڈٕنِچہِ,,पहला,
Adv,He was the first to enter the hall.,first,گۄڈنِیُک,,सबसे_पहले,
Adv,I would like to finish the work first.,first,گۄڈٕ,,के_पहले,
N,The team had scored first goal before halftime.,first,گۄڈٕنِیُک,,प्रथम,
Art,He delivered his first lecture profoundly.,first,گۄڈنِیُک,,पहला,
Adj,Taxes are maintained in fiscal policy.,fiscal,مٲلی,,राजकर_संबन्धी,
N,We want fish fry for the dinner.,fish,گاڈ,,मछली,
V,I love to go for fishing on week ends.,fish,گاڈٕ رَٹنہِ,,मछली_पकड़ना,
N,Fishermen are advised to not to go into the sea during the storm.,fisherman,گاڈٕ وول،گاڈٕہٲنٛز,,मछुआरा,
N,Fishermen usually go for fishing before sunrise.,fishing,گاڈٕرَٹنہِ,,मछली_पकड़ना,
